bvid,title,series,number,plays,likes,date,url
BV1c77L6ZE5b,手撕AI Infra算子系列16：矩阵乘法,未分类 / 其他,,5370,0,2026-06-26,https://www.bilibili.com/video/BV1c77L6ZE5b
BV1fP7j6xEtN,手撕AI Infra算子系列15：Norm代码实现,未分类 / 其他,,1558,0,2026-06-26,https://www.bilibili.com/video/BV1fP7j6xEtN
BV1BKG76LEPM,手撕AI Infra算子系列14：BatchNorm/LayerNorm/RMSNorm理论解析,未分类 / 其他,,5482,0,2026-05-24,https://www.bilibili.com/video/BV1BKG76LEPM
BV1rdGq6CEZd,AI Infra 秋招/实习/训推框架项目推荐,未分类 / 其他,,6856,0,2026-05-23,https://www.bilibili.com/video/BV1rdGq6CEZd
BV1K2Gq6SEvQ,手撕AI Infra算子系列13：Scan算子详解+原理+代码+论文,未分类 / 其他,,1944,0,2026-05-23,https://www.bilibili.com/video/BV1K2Gq6SEvQ
BV1tq5i69Epg,手撕AI Infra算子系列12：Softmax详解+原理+论文+N种优化方法,未分类 / 其他,,2036,0,2026-05-15,https://www.bilibili.com/video/BV1tq5i69Epg
BV1FS536zELn,手撕AI Infra算子系列11：LeetGPU中的Reduce和Dot Product的代码实现,未分类 / 其他,,1643,0,2026-05-12,https://www.bilibili.com/video/BV1FS536zELn
BV1wc5n6PEhQ,手撕AI Infra算子系列10：英伟达官方reduce实现详解,未分类 / 其他,,4016,0,2026-05-10,https://www.bilibili.com/video/BV1wc5n6PEhQ
BV1BkdAB2ERi,"双非本硕,211本硕,清北本硕,能走AI Infra/算子开发吗?我的一点小建议",未分类 / 其他,,14556,0,2026-05-07,https://www.bilibili.com/video/BV1BkdAB2ERi
BV1cJdPBHEK2,手撕AI Infra算子系列9:Reduce的七种优化方法,未分类 / 其他,,3168,0,2026-05-07,https://www.bilibili.com/video/BV1cJdPBHEK2
BV1ono6BJEnt,手撕AI Infra算子系列8：颜色反转；详解View与Offset,未分类 / 其他,,2668,0,2026-04-27,https://www.bilibili.com/video/BV1ono6BJEnt
BV1PvoeB2E2h,手撕AI Infra算子系列7：Matrix Addition详解。,未分类 / 其他,,2071,0,2026-04-26,https://www.bilibili.com/video/BV1PvoeB2E2h
BV1npovBCE1r,手撕AI Infra算子系列6：工业级Element Wise是如何实现的？Oneflow详解,未分类 / 其他,,2254,0,2026-04-26,https://www.bilibili.com/video/BV1npovBCE1r
BV1L6oNBSEGc,手撕AI Infra算子系列5：element wise算子详解（CUDA、Triton、Pytorch）,未分类 / 其他,,5673,0,2026-04-20,https://www.bilibili.com/video/BV1L6oNBSEGc
BV147dYBLEi4,手撕AI Infra算子系列4：CUDA、Triton、Pytorch的前世今生,未分类 / 其他,,17276,0,2026-04-16,https://www.bilibili.com/video/BV147dYBLEi4
BV1VvQ3BSELZ,手撕AI Infra算子系列3：极速环境配置，20分钟学会！包你完全0报错！,未分类 / 其他,,6487,0,2026-04-14,https://www.bilibili.com/video/BV1VvQ3BSELZ
BV1qKQGBtEDE,AI Infra的招聘要求以及学习路线,未分类 / 其他,,10440,0,2026-04-14,https://www.bilibili.com/video/BV1qKQGBtEDE
BV1qhDXBzEbA,从零到一：像刷力扣一样手撕100个AI Infra的Kernel算子（CUDA+Triton+Pytorch）,未分类 / 其他,,23449,0,2026-04-12,https://www.bilibili.com/video/BV1qhDXBzEbA
BV1NyDWBMETU,吊打Vim和VSCode？Fresh编辑器或许有点香,未分类 / 其他,,5464,0,2026-04-09,https://www.bilibili.com/video/BV1NyDWBMETU
BV1yvZMBCEbb,山西的年味太浓啦，烟火，旺火，阳台灯火,未分类 / 其他,,258,0,2026-02-16,https://www.bilibili.com/video/BV1yvZMBCEbb
BV13yZuB4EXF,沉浸式玩三角洲新图，太有感觉了,未分类 / 其他,,449,0,2026-02-16,https://www.bilibili.com/video/BV13yZuB4EXF
BV1X8iyBTEw6,考后碎碎念,未分类 / 其他,,688,0,2026-01-07,https://www.bilibili.com/video/BV1X8iyBTEw6
BV1bdqKBfEsC,欧式空间习题,未分类 / 其他,,216,0,2026-01-07,https://www.bilibili.com/video/BV1bdqKBfEsC
BV1VbqTBTEQg,欧式空间,未分类 / 其他,,285,0,2026-01-07,https://www.bilibili.com/video/BV1VbqTBTEQg
BV18ziZBBEbm,广义逆课后题,未分类 / 其他,,477,0,2026-01-06,https://www.bilibili.com/video/BV18ziZBBEbm
BV1tyiZBNEnd,广义逆矩阵求解,未分类 / 其他,,1722,0,2026-01-06,https://www.bilibili.com/video/BV1tyiZBNEnd
BV1MWifBBEJN,广义逆1——投影变换,未分类 / 其他,,1159,0,2026-01-06,https://www.bilibili.com/video/BV1MWifBBEJN
BV1TCicBzEJm,SVD分解,未分类 / 其他,,1609,0,2026-01-02,https://www.bilibili.com/video/BV1TCicBzEJm
BV1GhicBmEs1,满秩分解,未分类 / 其他,,686,0,2026-01-02,https://www.bilibili.com/video/BV1GhicBmEs1
BV13YicBjEYt,QR分解——H分解,未分类 / 其他,,538,0,2026-01-02,https://www.bilibili.com/video/BV13YicBjEYt
BV1rnv9B3Evg,QR——Given变换,未分类 / 其他,,1129,0,2026-01-01,https://www.bilibili.com/video/BV1rnv9B3Evg
BV1mKv9BDErD,QR分解——施密特法,未分类 / 其他,,1060,0,2026-01-01,https://www.bilibili.com/video/BV1mKv9BDErD
BV1UAv9BXEfs,LU的Crout分解,未分类 / 其他,,606,0,2026-01-01,https://www.bilibili.com/video/BV1UAv9BXEfs
BV1SAv9BXEWE,LDU分解,未分类 / 其他,,926,0,2026-01-01,https://www.bilibili.com/video/BV1SAv9BXEWE
BV113v9B7EWj,矩阵函数课后习题全讲,未分类 / 其他,,783,0,2026-01-01,https://www.bilibili.com/video/BV113v9B7EWj
BV1QivQBpEWe,矩阵分析,未分类 / 其他,,894,0,2026-01-01,https://www.bilibili.com/video/BV1QivQBpEWe
BV1Z8BMBEEoW,北邮矩阵论对角化和Jordan,未分类 / 其他,,662,0,2025-12-23,https://www.bilibili.com/video/BV1Z8BMBEEoW
BV1B8BMBEEbV,北邮矩阵论线性变换一,未分类 / 其他,,588,0,2025-12-23,https://www.bilibili.com/video/BV1B8BMBEEbV
BV1njqrBVECz,线性空间习题,未分类 / 其他,,913,0,2025-12-20,https://www.bilibili.com/video/BV1njqrBVECz
