bvid,title,series,number,plays,likes,date,url
BV1kE746dEDm,我对 harness engineering 的一种实践分享 - 赵扶风1942型的编程直播回放,合集·赵扶风-1942型的编程直播回放,,258,0,2026-06-24,https://www.bilibili.com/video/BV1kE746dEDm
BV1vTQMB3EWn,Idea editor tabs 多行显示配置方法 - 赵扶风1942型的编程直播回放,合集·赵扶风-1942型的编程直播回放,,603,0,2026-04-11,https://www.bilibili.com/video/BV1vTQMB3EWn
BV1KwwzzGESC,Cursor与IDEA双开技巧：避免编译失败 - 赵扶风1942型的编程直播回放,合集·赵扶风-1942型的编程直播回放,,411,0,2026-03-18,https://www.bilibili.com/video/BV1KwwzzGESC
BV12smBBiE8a,微服务升版检查单-依赖版本升级操作流程 - 赵扶风1942型的编程直播回放,合集·赵扶风-1942型的编程直播回放,,624,0,2025-12-14,https://www.bilibili.com/video/BV12smBBiE8a
BV1WkUTBmEpU,Cursor 与 Idea 一起使用的几个技巧 - 赵扶风1942型的编程直播回放,合集·赵扶风-1942型的编程直播回放,,3154,0,2025-11-23,https://www.bilibili.com/video/BV1WkUTBmEpU
BV1x1CGBpEoZ,MySQL Trailing Space 问题以及解决方案 - 赵扶风1942型的编程直播回放,合集·赵扶风-1942型的编程直播回放,,274,0,2025-11-14,https://www.bilibili.com/video/BV1x1CGBpEoZ
BV1JGkiBuEEt,Spring-telqos 新运维指令介绍 - 赵扶风1942型的编程直播回放,合集·赵扶风-1942型的编程直播回放,,97,0,2025-11-10,https://www.bilibili.com/video/BV1JGkiBuEEt
BV12C11BSEF8,使用 Cursor 完成非创新性任务 - 赵扶风1942型的编程直播回放,合集·赵扶风-1942型的编程直播回放,,180,0,2025-11-07,https://www.bilibili.com/video/BV12C11BSEF8
BV1oVyvBiErJ,在 Cursor 中使用 RIPER-5 规则提升开发效率 - 赵扶风1942型的编程直播回放,合集·赵扶风-1942型的编程直播回放,,382,0,2025-10-30,https://www.bilibili.com/video/BV1oVyvBiErJ
BV1kUGvzSEXr,Vite import 不区分大小写的解决方案 - 赵扶风1942型的编程直播回放,合集·赵扶风-1942型的编程直播回放,,339,0,2025-05-01,https://www.bilibili.com/video/BV1kUGvzSEXr
BV1MEo6YGEA9,微服务升版检查单介绍与使用 - 赵扶风1942型的编程直播回放,合集·赵扶风-1942型的编程直播回放,,208,0,2025-03-23,https://www.bilibili.com/video/BV1MEo6YGEA9
BV18HQeY7EpV,优化 el-button 使用外部图标的场景 - 赵扶风1942型的编程直播回放,合集·赵扶风-1942型的编程直播回放,,139,0,2025-03-16,https://www.bilibili.com/video/BV18HQeY7EpV
BV1s6QKYhE9e,用户偏好 Composition API 封装 - 赵扶风1942型的编程直播回放,合集·赵扶风-1942型的编程直播回放,,116,0,2025-03-13,https://www.bilibili.com/video/BV1s6QKYhE9e
BV1XcQ5YFEYA,使用个人新前端框架重写简单页面 - 赵扶风1942型的编程直播回放,合集·赵扶风-1942型的编程直播回放,,120,0,2025-03-11,https://www.bilibili.com/video/BV1XcQ5YFEYA
BV1JxRYYqEiZ,前端接口使用 TS 重构 - 赵扶风1942型的编程直播回放,合集·赵扶风-1942型的编程直播回放,,225,0,2025-03-09,https://www.bilibili.com/video/BV1JxRYYqEiZ
BV1zDK7eWEP8,简单演示我的工具库项目如何基于数据配置实现工具的执行逻辑,未入合集,,407,0,2025-02-12,https://www.bilibili.com/video/BV1zDK7eWEP8
BV1cBiceWEMQ,【直播回放】个人项目定版部署 2024年08月04日20点场,直播回放,,858,0,2024-08-04,https://www.bilibili.com/video/BV1cBiceWEMQ
BV1sT421e7ht,【直播回放】直播写代码，不打算熬夜 2024年06月07日21点场,直播回放,,511,0,2024-06-08,https://www.bilibili.com/video/BV1sT421e7ht
BV1rm411D7Mo,关于我2024春节写代码跨年的视频纪念！,未入合集,,832,0,2024-02-13,https://www.bilibili.com/video/BV1rm411D7Mo
BV1uQ4y1G7Qg,拍一下航天三院附近云岗森林公园里的轰5（H5-02202）,未入合集,,549,0,2023-12-10,https://www.bilibili.com/video/BV1uQ4y1G7Qg
BV1xM411Q7D4,且看时序数据库如何拿捏百万级数据，仿佛延迟不存在,未入合集,,780,0,2023-11-03,https://www.bilibili.com/video/BV1xM411Q7D4
BV14B4y1R7Ct,今天是程序员节，并没有人给产品经理点赞,未入合集,,294,0,2023-10-24,https://www.bilibili.com/video/BV14B4y1R7Ct
BV1Fu411w7bp,加班加累了，来个大国工匠的cosplay,未入合集,,484,0,2023-09-20,https://www.bilibili.com/video/BV1Fu411w7bp
BV1bu4y1k7BW,赵扶风-1942型的2023夏日数据报告新鲜出炉啦！,未入合集,,27,0,2023-09-10,https://www.bilibili.com/video/BV1bu4y1k7BW
BV1wu4y1z7DS,十年前的今天，我用Flash脚本，做了一个弹力绳的运动模拟程序,未入合集,,405,0,2023-08-08,https://www.bilibili.com/video/BV1wu4y1z7DS
