bvid,title,series,number,plays,likes,date,url
BV1Ae7A6bE1X,论文可以查重，为什么不能查烂？,未分类 / 其他,,207318,0,2026-06-22,https://www.bilibili.com/video/BV1Ae7A6bE1X
BV1L5Ee6iEVX,文科生的崛起？当游戏开发可以靠嘴炮完成,未分类 / 其他,,205656,0,2026-06-11,https://www.bilibili.com/video/BV1L5Ee6iEVX
BV1AtdgBgEBP,再见了，所有的爬虫战士,未分类 / 其他,,205449,0,2026-05-09,https://www.bilibili.com/video/BV1AtdgBgEBP
BV1GWdzBiEcj,一群清华学生想开发一个校内相亲平台，用AI能解决他们的问题吗？,未分类 / 其他,,152956,0,2026-04-17,https://www.bilibili.com/video/BV1GWdzBiEcj
BV1SsQcB1E5n,为什么PostgreSQL是世界上最安全的系统【让PostgreSQL再次伟大#02】,让PostgreSQL再次伟大#02,,80082,0,2026-04-10,https://www.bilibili.com/video/BV1SsQcB1E5n
BV1ZpXLBTEiq,【屠龙术】手把手教你管理一个满配开发团队,屠龙术,,204641,0,2026-03-29,https://www.bilibili.com/video/BV1ZpXLBTEiq
BV1rpQ1BdEJJ,最好的数据库IDE，变得更好了！,未分类 / 其他,,178448,0,2026-03-25,https://www.bilibili.com/video/BV1rpQ1BdEJJ
BV1n1PszYEXs,我们仍未知道 PostgreSQL 的性能上限【让PostgreSQL再次伟大#01】,让PostgreSQL再次伟大#01,,245288,0,2026-03-06,https://www.bilibili.com/video/BV1n1PszYEXs
BV1ddAtz8Ejv,只有10B激活参数的“小”模型，能开发什么样的游戏？,未分类 / 其他,,206796,0,2026-02-28,https://www.bilibili.com/video/BV1ddAtz8Ejv
BV1ZMf2BzEYT,为了拯救社恐粉丝们，我用GLM-5做了一个视频通话平台,未分类 / 其他,,155540,0,2026-02-24,https://www.bilibili.com/video/BV1ZMf2BzEYT
BV1eLFrzWEFA,Java是工作，JavaScript才是生活,未分类 / 其他,,148570,0,2026-02-09,https://www.bilibili.com/video/BV1eLFrzWEFA
BV1tLFczwEhx,独家专访开源大佬朱彬彬：窥探开源社区的权斗，新人入门的七条箴言，Redis和Valkey的分家和复合【原桌会01】,原桌会01,,117277,0,2026-02-06,https://www.bilibili.com/video/BV1tLFczwEhx
BV1oG6kB1Ee5,在代码生成的时代，代码补全要卷土重来？,未分类 / 其他,,159288,0,2026-01-31,https://www.bilibili.com/video/BV1oG6kB1Ee5
BV1wCzsBBEHS,一位程序员装了300个Skill，这是他大脑发生的变化,未分类 / 其他,,142513,0,2026-01-22,https://www.bilibili.com/video/BV1wCzsBBEHS
BV1nnkMBFEG6,从Chat、Agent到Skill，为什么AI又捡起软件开发的老路？,未分类 / 其他,,171730,0,2026-01-19,https://www.bilibili.com/video/BV1nnkMBFEG6
