bvid,title,series,number,plays,likes,date,url
BV1eVKG6CEZH,175. 如何理解正态分布的多元扩展？【每天一个宝藏问题】,每天一个宝藏问题,175,351,0,2026-07-20,https://www.bilibili.com/video/BV1eVKG6CEZH
BV1MRME6oE2V,[106]. RWKV，一种序列模型：论文精读【每天一个宝藏论文】,每天一个宝藏论文,106,592,0,2026-07-20,https://www.bilibili.com/video/BV1MRME6oE2V
BV1vAN36BEit,174. 为什么DDPM加噪相当于90°旋转插值？【每天一个宝藏问题】,每天一个宝藏问题,174,673,0,2026-07-19,https://www.bilibili.com/video/BV1vAN36BEit
BV1MRME6oE3a,[105]. TTT，一种序列模型：论文精读【每天一个宝藏论文】,每天一个宝藏论文,105,670,0,2026-07-19,https://www.bilibili.com/video/BV1MRME6oE3a
BV1MRME6oEhx,[104]. kimi的注意力残差：论文精读【每天一个宝藏论文】,每天一个宝藏论文,104,868,0,2026-07-18,https://www.bilibili.com/video/BV1MRME6oEhx
BV1HNM76GEo8,173. 如何证明任意两句话的公共前缀都有相同的KV Cache？【每天一个宝藏问题】,每天一个宝藏问题,173,2860,0,2026-07-18,https://www.bilibili.com/video/BV1HNM76GEo8
BV1E9Mb6MEeq,172. 如何用外积优化GEMM？【每天一个宝藏问题】,每天一个宝藏问题,172,775,0,2026-07-17,https://www.bilibili.com/video/BV1E9Mb6MEeq
BV1cJTb6BE3S,[103]. Reflexion：Agent经典论文精读【每天一个宝藏论文】,每天一个宝藏论文,103,427,0,2026-07-17,https://www.bilibili.com/video/BV1cJTb6BE3S
BV1MRTd6bEbH,171. 如何可视化 DeepSeek MLA（简化版）？【每天一个宝藏问题】,每天一个宝藏问题,171,567,0,2026-07-16,https://www.bilibili.com/video/BV1MRTd6bEbH
BV1FRTi6oEz2,[102]. ReAct：Agent经典论文精读【每天一个宝藏论文】,每天一个宝藏论文,102,768,0,2026-07-16,https://www.bilibili.com/video/BV1FRTi6oEz2
BV1hETD6mERB,170. vLLM 投机解码首token合并 prefill 这个小技巧是怎么来的？【每天一个宝藏问题】,每天一个宝藏问题,170,1053,0,2026-07-15,https://www.bilibili.com/video/BV1hETD6mERB
BV1ktTc6tEce,[101]. H2O：KV缓存压缩论文精读【每天一个宝藏论文】,每天一个宝藏论文,101,521,0,2026-07-15,https://www.bilibili.com/video/BV1ktTc6tEce
BV1aDMu6BEDb,169. MTP为什么能一次预测多个未来 token？【每天一个宝藏问题】,每天一个宝藏问题,169,1010,0,2026-07-14,https://www.bilibili.com/video/BV1aDMu6BEDb
BV1rtTc6tEen,[100]. FlashDecoding的改进：FlashDecoding++论文精读【每天一个宝藏论文】,每天一个宝藏论文,100,609,0,2026-07-14,https://www.bilibili.com/video/BV1rtTc6tEen
BV1zTMP6YEqg,168. Megatron张量并行如何用列切分加行切分降低FFN层的通信？【每天一个宝藏问题】,每天一个宝藏问题,168,722,0,2026-07-13,https://www.bilibili.com/video/BV1zTMP6YEqg
BV1NsKQ6zENp,[99]. Medusa：投机解码和树形注意力论文精读【每天一个宝藏论文】,每天一个宝藏论文,99,397,0,2026-07-13,https://www.bilibili.com/video/BV1NsKQ6zENp
BV1fTMP6YEtZ,167. 为什么KL散度非负和信息熵是最优码长这两件事是等价的？【每天一个宝藏问题】,每天一个宝藏问题,167,610,0,2026-07-12,https://www.bilibili.com/video/BV1fTMP6YEtZ
BV11sKQ6zEFj,[98]. TurboQuant：KV Cache量化论文精读【每天一个宝藏论文】,每天一个宝藏论文,98,720,0,2026-07-12,https://www.bilibili.com/video/BV11sKQ6zEFj
BV1WzMP6rEN6,166. 如何用双缓冲优化GEMM？【每天一个宝藏问题】,每天一个宝藏问题,166,1550,0,2026-07-11,https://www.bilibili.com/video/BV1WzMP6rEN6
BV18e7p6FEU6,[97]. RaBitQ的改进工作：论文精读【每天一个宝藏论文】,每天一个宝藏论文,97,317,0,2026-07-11,https://www.bilibili.com/video/BV18e7p6FEU6
BV1AzMP6kE62,165. 残差连接在Transformer反向传播中可视化出来是什么样的？【每天一个宝藏问题】,每天一个宝藏问题,165,757,0,2026-07-10,https://www.bilibili.com/video/BV1AzMP6kE62
BV1Av7q6dEpF,[96]. Mamba_2：论文精读【每天一个宝藏论文】,每天一个宝藏论文,96,436,0,2026-07-10,https://www.bilibili.com/video/BV1Av7q6dEpF
BV1AzMP6rE61,164. 为什么环形All-Reduce 时，4卡和128卡单卡通信量差不多？【每天一个宝藏问题】,每天一个宝藏问题,164,1193,0,2026-07-09,https://www.bilibili.com/video/BV1AzMP6rE61
BV1kv7q6RELS,[95]. SAM_2：论文精读【每天一个宝藏论文】,每天一个宝藏论文,95,469,0,2026-07-09,https://www.bilibili.com/video/BV1kv7q6RELS
BV1rJTb6qEYr,163. 张量并行中的列并行和行并行是如何切分W和X矩阵的？【每天一个宝藏问题】,每天一个宝藏问题,163,718,0,2026-07-08,https://www.bilibili.com/video/BV1rJTb6qEYr
BV1kv7q6REeS,[94]. BPE：论文精读【每天一个宝藏论文】,每天一个宝藏论文,94,532,0,2026-07-08,https://www.bilibili.com/video/BV1kv7q6REeS
BV1tWTj6jEGU,162. 如何可视化GEMM？【每天一个宝藏问题】,每天一个宝藏问题,162,1097,0,2026-07-07,https://www.bilibili.com/video/BV1tWTj6jEGU
