bvid,title,series,number,plays,likes,date,url
BV1cRK86zEpQ,和蚂蚁灵波沈宇军聊：机器人原生基础模型、大脑和本体的关系、预训练与数据scale up、老师汤晓鸥,未分类 / 其他,,36621,0,2026-07-22,https://www.bilibili.com/video/BV1cRK86zEpQ
BV12bNB6vEtt,对Physical Intelligence柯丽一鸣4小时访谈：PI的开源模型研究，机器人的江湖、族谱与主角,未分类 / 其他,,72509,0,2026-07-16,https://www.bilibili.com/video/BV12bNB6vEtt
BV1HfEy6jEUx,口述SpaceX开发史：和前高管洪力德聊，马斯克用人观、最大IPO、太空与AI、人类文明扩张前奏？,未分类 / 其他,,85707,0,2026-06-12,https://www.bilibili.com/video/BV1HfEy6jEUx
BV1dyE86bENz,对阳萌的4小时访谈：消费电子死与生、第三类公司、端侧模型、产品方法、游戏模式,未分类 / 其他,,543053,0,2026-06-08,https://www.bilibili.com/video/BV1dyE86bENz
BV1d4GU6wEDo,对何小鹏的第二次访谈：更大赌注、人形机器人Iron诞生、那场意外、技术剧变下CEO、GX和缝合怪,未分类 / 其他,,109278,0,2026-05-28,https://www.bilibili.com/video/BV1d4GU6wEDo
BV1YR5E6EE9o,对姚顺宇的4小时访谈：请允许我小疯一下！在Anthropic和Gemini训模型、技术预测、英雄主义已过去,未分类 / 其他,,684177,0,2026-05-11,https://www.bilibili.com/video/BV1YR5E6EE9o
BV1iVoVBgERD,对罗福莉的3.5小时访谈：AI范式已然巨变！OpenClaw、智能体框架、Agent范式很吃Post-train、卡的分配比例、巨变下的组织,未分类 / 其他,,466566,0,2026-04-24,https://www.bilibili.com/video/BV1iVoVBgERD
BV13BdfBoELd,对洪乐潼的4小时访谈：AI for Math、把数学变成Lean、数学天书中的证明、直觉、被创造的与被发现的,未分类 / 其他,,92294,0,2026-04-20,https://www.bilibili.com/video/BV13BdfBoELd
BV1sLX9B4EqD,【数据的综述】和谢晨聊，新时代的石油、历史、版图、数据金字塔、定价与Recipe,数据的综述,,49823,0,2026-03-30,https://www.bilibili.com/video/BV1sLX9B4EqD
BV1tew5zVEDf,对谢赛宁的7小时马拉松访谈：世界模型、逃出硅谷、反OpenAI、AMI Labs、两次拒绝Ilya、杨立昆、李飞飞和42,未分类 / 其他,,240662,0,2026-03-16,https://www.bilibili.com/video/BV1tew5zVEDf
BV1arcjzpE1B,对星海图高继扬的3小时访谈：鲶鱼、曾国藩、机器人、Waymo与Momenta的两面、一只狼与许华哲的离开,未分类 / 其他,,52681,0,2026-02-13,https://www.bilibili.com/video/BV1arcjzpE1B
BV1ZczaBJE58,印奇出任阶跃星辰董事长的访谈：聪明人的诱惑、取舍、超长链路残酷淘汰赛、阶跃函数和超多元方程,未分类 / 其他,,112070,0,2026-01-26,https://www.bilibili.com/video/BV1ZczaBJE58
