bvid,title,series,number,plays,likes,date,url
BV1FbNT6NEJL,RNN：模型开始理解自然语言序列,未分类 / 其他,,1242,0,2026-07-22,https://www.bilibili.com/video/BV1FbNT6NEJL
BV16cNP6oE4R,Embedding 与word2vec：模型如何理解一个词,未分类 / 其他,,2304,0,2026-07-18,https://www.bilibili.com/video/BV16cNP6oE4R
BV1RMMu6TEpu,NLP 概述：从规则穷举到 Transformer与大模型,未分类 / 其他,,2956,0,2026-07-11,https://www.bilibili.com/video/BV1RMMu6TEpu
BV1LGMw6HEEB,残差连接： CNN 和 Transformer 的共同捷径,未分类 / 其他,,3451,0,2026-07-10,https://www.bilibili.com/video/BV1LGMw6HEEB
BV1fW7L6XEiv,CNN 3 池化、分类与代码示例,未分类 / 其他,,2093,0,2026-07-04,https://www.bilibili.com/video/BV1fW7L6XEiv
BV1NR7L6YEiF,CNN 核心：卷积层是如何提取图像特征的,未分类 / 其他,,3179,0,2026-07-02,https://www.bilibili.com/video/BV1NR7L6YEiF
BV1TtjJ6CEbe,CNN 第一课：CV 任务为什么需要 CNN,未分类 / 其他,,3993,0,2026-06-26,https://www.bilibili.com/video/BV1TtjJ6CEbe
BV1FmJJ6rEqS,如何训练一个深度学习模型,未分类 / 其他,,6541,0,2026-06-21,https://www.bilibili.com/video/BV1FmJJ6rEqS
BV1DHJ76SEmj,过拟合克星——正则化,未分类 / 其他,,17304,0,2026-06-18,https://www.bilibili.com/video/BV1DHJ76SEmj
BV1X2Ex6rEu9,归一化：Transformer 用了都说好的训练技巧,未分类 / 其他,,3540,0,2026-06-13,https://www.bilibili.com/video/BV1X2Ex6rEu9
BV17i7Q6HEFt,参数初始化——你和调参高手就差一点点,未分类 / 其他,,2759,0,2026-06-11,https://www.bilibili.com/video/BV17i7Q6HEFt
BV1NMVn6vE7o,小小学习率竟然能这么显著影响模型训练结果,未分类 / 其他,,3991,0,2026-06-05,https://www.bilibili.com/video/BV1NMVn6vE7o
BV1uPGj6fEQh,识别手写数字——为什么你不该死磕 PyTorch 语法,未分类 / 其他,,8819,0,2026-05-29,https://www.bilibili.com/video/BV1uPGj6fEQh
BV1jgGB6PE7S,损失函数：告诉模型错了多少,未分类 / 其他,,4232,0,2026-05-28,https://www.bilibili.com/video/BV1jgGB6PE7S
BV1XbLh6mEru,梯度下降：神经网络是怎么找到一组好参数的,未分类 / 其他,,5576,0,2026-05-26,https://www.bilibili.com/video/BV1XbLh6mEru
BV1RQL36cELq,激活函数：为神经网络注入灵魂,未分类 / 其他,,14324,0,2026-05-21,https://www.bilibili.com/video/BV1RQL36cELq
BV1Lg5T6SEmP,反向传播：海量参数的神经网络如何训练,未分类 / 其他,,10499,0,2026-05-17,https://www.bilibili.com/video/BV1Lg5T6SEmP
BV1XoRJB7ERe,深度学习架构：MLP到神经网络的升级，理解反向传播的基础,未分类 / 其他,,6978,0,2026-05-10,https://www.bilibili.com/video/BV1XoRJB7ERe
BV1FW9ZBhEEN,感知机：深度学习的 Hello World,未分类 / 其他,,8081,0,2026-05-08,https://www.bilibili.com/video/BV1FW9ZBhEEN
BV1db9dBEETc,深度学习环境安装,未分类 / 其他,,4626,0,2026-05-08,https://www.bilibili.com/video/BV1db9dBEETc
BV1rARgBYE3J,深度学习第一课,未分类 / 其他,,10214,0,2026-05-06,https://www.bilibili.com/video/BV1rARgBYE3J
BV1GsofB8Eej,机器学习课程总结与深度学习展望,未分类 / 其他,,3714,0,2026-05-01,https://www.bilibili.com/video/BV1GsofB8Eej
BV1YMoDBuEm2,PCA 主成分分析，机器学习最后一个模型,未分类 / 其他,,8578,0,2026-04-30,https://www.bilibili.com/video/BV1YMoDBuEm2
BV17Nd5BrEQS,K-Means 聚类,未分类 / 其他,,6248,0,2026-04-18,https://www.bilibili.com/video/BV17Nd5BrEQS
BV1QdQJBTEGV,集成学习之Boosting模型——XGBoost、LightGBM、CatBoost,未分类 / 其他,,15430,0,2026-04-15,https://www.bilibili.com/video/BV1QdQJBTEGV
BV1NgQuBFEVY,随机森林——决策树模型升级版,未分类 / 其他,,7892,0,2026-04-11,https://www.bilibili.com/video/BV1NgQuBFEVY
BV1M8D7BWEVQ,决策树——会 if...else 就能懂的机器学习算法,未分类 / 其他,,13384,0,2026-04-08,https://www.bilibili.com/video/BV1M8D7BWEVQ
BV1gZDVBUEqC,逻辑回归—最常用的分类模型,未分类 / 其他,,10695,0,2026-04-05,https://www.bilibili.com/video/BV1gZDVBUEqC
BV1Hb9EB9ESo,欠拟合与过拟合问题诊断与解决,未分类 / 其他,,7736,0,2026-04-01,https://www.bilibili.com/video/BV1Hb9EB9ESo
BV1nRXVBBEc4,拟合前提——线性回归模型评估,未分类 / 其他,,5377,0,2026-03-28,https://www.bilibili.com/video/BV1nRXVBBEc4
BV1cGA3zREMA,数据预处理全攻略,未分类 / 其他,,18031,0,2026-03-22,https://www.bilibili.com/video/BV1cGA3zREMA
BV1cpwuz7EgF,梯度下降——模型如何自己学会找最优参数,未分类 / 其他,,16329,0,2026-03-15,https://www.bilibili.com/video/BV1cpwuz7EgF
BV1xrNGzrEJx,线性回归——机器学习的第一个模型,未分类 / 其他,,34367,0,2026-03-08,https://www.bilibili.com/video/BV1xrNGzrEJx
BV1n3fzBsEu6,机器学习类型：监督学习、非监督学习、强化学习,未分类 / 其他,,11904,0,2026-02-23,https://www.bilibili.com/video/BV1n3fzBsEu6
BV1BnZZBTEcL,机器学习是什么：通过数据学习规律，对未来预测,未分类 / 其他,,9929,0,2026-02-22,https://www.bilibili.com/video/BV1BnZZBTEcL
BV13bZYBREgr,什么是智能，机器是怎么学会思考的,未分类 / 其他,,12551,0,2026-02-19,https://www.bilibili.com/video/BV13bZYBREgr
BV1NLffBWEkC,数据结构最后一课：AOE 网与关键路径,未分类 / 其他,,1766,0,2026-02-05,https://www.bilibili.com/video/BV1NLffBWEkC
BV1GE6bBNENv,图论：拓扑排序问题,未分类 / 其他,,1376,0,2026-02-02,https://www.bilibili.com/video/BV1GE6bBNENv
BV1j66pBdEL5,Floyd 多源最短路径算法,未分类 / 其他,,1789,0,2026-02-01,https://www.bilibili.com/video/BV1j66pBdEL5
BV1i56kB5E8Q,最短路径 Dijkstra 算法,未分类 / 其他,,2955,0,2026-01-31,https://www.bilibili.com/video/BV1i56kB5E8Q
BV1qrzXBkEmD,最小生成树 (MST),未分类 / 其他,,1651,0,2026-01-28,https://www.bilibili.com/video/BV1qrzXBkEmD
BV1Py6GBVEQa,图的遍历：深度优先与广度优先,未分类 / 其他,,2679,0,2026-01-27,https://www.bilibili.com/video/BV1Py6GBVEQa
BV19LzeBmE5G,图的存储：邻接矩阵与邻接表,未分类 / 其他,,2623,0,2026-01-26,https://www.bilibili.com/video/BV19LzeBmE5G
BV1k8zDBGE7H,图 1：图的现实应用与基础概念,未分类 / 其他,,1549,0,2026-01-25,https://www.bilibili.com/video/BV1k8zDBGE7H
BV1JFzCBSENY,B+树：数据库索引基石,未分类 / 其他,,1843,0,2026-01-24,https://www.bilibili.com/video/BV1JFzCBSENY
BV1PxzzBjEjj,B-Tree：为大数据而生的多路平衡搜索树,未分类 / 其他,,1591,0,2026-01-24,https://www.bilibili.com/video/BV1PxzzBjEjj
BV1vsk4BuEWk,红黑树：适度平衡的艺术，哈希表、Map 底层都是它,未分类 / 其他,,6678,0,2026-01-20,https://www.bilibili.com/video/BV1vsk4BuEWk
BV1exk4BBE1Y,AVL树：平衡的二叉搜索树，解决 BST 退化问题,未分类 / 其他,,1663,0,2026-01-19,https://www.bilibili.com/video/BV1exk4BBE1Y
BV11frSBnEeu,大厂面试必问：如何设计自动补全功能？——字典树,未分类 / 其他,,1443,0,2026-01-18,https://www.bilibili.com/video/BV11frSBnEeu
BV1Tmr1BVEA3,哈夫曼树：如何实现高效数据压缩,未分类 / 其他,,3185,0,2026-01-17,https://www.bilibili.com/video/BV1Tmr1BVEA3
BV1of6dBDEMB,堆的应用——LeetCode295,未分类 / 其他,,1543,0,2026-01-11,https://www.bilibili.com/video/BV1of6dBDEMB
BV1nK69BJECt,为极值而生的堆，解决Top K与优先队列难题,未分类 / 其他,,4158,0,2026-01-11,https://www.bilibili.com/video/BV1nK69BJECt
BV1ErrgB8EsX,BST：二分法、递归的巧妙运用,未分类 / 其他,,4108,0,2026-01-10,https://www.bilibili.com/video/BV1ErrgB8EsX
BV1L4qTBBERS,树的遍历：递归思想之始,未分类 / 其他,,4052,0,2026-01-07,https://www.bilibili.com/video/BV1L4qTBBERS
BV1uKv9BQEEU,树的基础概念和代码实现,未分类 / 其他,,4665,0,2026-01-02,https://www.bilibili.com/video/BV1uKv9BQEEU
BV1dai5BWEpU,哈希表：Java HashMap、Python Dict 底层都是它,未分类 / 其他,,4414,0,2026-01-01,https://www.bilibili.com/video/BV1dai5BWEpU
BV15QvzB9EGy,队列：四大线性数据结构的最后一环,未分类 / 其他,,2517,0,2025-12-28,https://www.bilibili.com/video/BV15QvzB9EGy
BV1q9BEBkEbU,栈：只在尾部操作的 List,未分类 / 其他,,4026,0,2025-12-22,https://www.bilibili.com/video/BV1q9BEBkEbU
BV1riq6B6E7V,重要程度仅次于数组的数据结构——链表,未分类 / 其他,,5357,0,2025-12-21,https://www.bilibili.com/video/BV1riq6B6E7V
BV1utqHBNE5o,数组：内存世界的原住民,未分类 / 其他,,9461,0,2025-12-18,https://www.bilibili.com/video/BV1utqHBNE5o
BV1uqmqBzEmz,数据结构第一课：数据结构和算法有什么用,未分类 / 其他,,9881,0,2025-12-14,https://www.bilibili.com/video/BV1uqmqBzEmz
BV14WSTB9Em7,我是怎么学会编程的,未分类 / 其他,,58610,0,2025-11-30,https://www.bilibili.com/video/BV14WSTB9Em7
BV1ZXUNBAEMr,编程三部曲 3：面向对象——数据与操作指令的封装,未分类 / 其他,,3771,0,2025-11-23,https://www.bilibili.com/video/BV1ZXUNBAEMr
BV159UWB5E34,编程三部曲 2：函数——打包相似逻辑的指令,未分类 / 其他,,2954,0,2025-11-22,https://www.bilibili.com/video/BV159UWB5E34
BV1yqCSBpEqm,Day 30：恭喜你学会了Python! 结课 & 深入领域学习建议,未分类 / 其他,,1393,0,2025-11-16,https://www.bilibili.com/video/BV1yqCSBpEqm
BV1AdC5BWEfg,Day 29：猜数字-二分法的魅力,未分类 / 其他,,631,0,2025-11-15,https://www.bilibili.com/video/BV1AdC5BWEfg
BV1rcCPBnEWC,Day28：综合练习-记账本,未分类 / 其他,,1020,0,2025-11-14,https://www.bilibili.com/video/BV1rcCPBnEWC
BV1z51oBuEfG,编程三部曲 1：变量、内存与指针,未分类 / 其他,,11860,0,2025-11-09,https://www.bilibili.com/video/BV1z51oBuEfG
BV11g1SBZEV5,Day27：使用Pandas、Matplotlib数据分析,未分类 / 其他,,1616,0,2025-11-08,https://www.bilibili.com/video/BV11g1SBZEV5
BV14L2NB6ET9,Day 26：爬虫入门,未分类 / 其他,,952,0,2025-11-07,https://www.bilibili.com/video/BV14L2NB6ET9
BV1ws1hBqEr6,Day 25：虚拟环境,未分类 / 其他,,925,0,2025-11-03,https://www.bilibili.com/video/BV1ws1hBqEr6
BV1UPyRB5Ekw,Day 24：模块化编程,未分类 / 其他,,982,0,2025-11-02,https://www.bilibili.com/video/BV1UPyRB5Ekw
BV1iW1VBVEJ4,Day 23：面向对象 Part3,未分类 / 其他,,748,0,2025-11-01,https://www.bilibili.com/video/BV1iW1VBVEJ4
BV1Z4yCBfE8m,Day22：面向对象 Part2,未分类 / 其他,,864,0,2025-10-28,https://www.bilibili.com/video/BV1Z4yCBfE8m
BV1qsxczLESt,Day 21：面向对象 Part1,未分类 / 其他,,1081,0,2025-10-26,https://www.bilibili.com/video/BV1qsxczLESt
BV14asXzBEFG,Day 20：综合小练习,未分类 / 其他,,505,0,2025-10-25,https://www.bilibili.com/video/BV14asXzBEFG
BV1m7sWzxEWZ,Day 19：匿名函数&高阶函数,未分类 / 其他,,807,0,2025-10-24,https://www.bilibili.com/video/BV1m7sWzxEWZ
BV1QJsEzUEbv,Day 18：迭代器&生成器,未分类 / 其他,,1117,0,2025-10-24,https://www.bilibili.com/video/BV1QJsEzUEbv
BV1Z4sbz9EPb,Day 17：列表推导式,未分类 / 其他,,758,0,2025-10-22,https://www.bilibili.com/video/BV1Z4sbz9EPb
BV1gnWdzSEAs,Day 16：异常处理,未分类 / 其他,,774,0,2025-10-21,https://www.bilibili.com/video/BV1gnWdzSEAs
BV1fUWZzMEu7,Day 15：文件操作,未分类 / 其他,,1456,0,2025-10-19,https://www.bilibili.com/video/BV1fUWZzMEu7
BV1WoWsz9EoY,Day 14：module & package,未分类 / 其他,,760,0,2025-10-18,https://www.bilibili.com/video/BV1WoWsz9EoY
BV124WYzjERN,Day 13：函数进阶,未分类 / 其他,,1053,0,2025-10-16,https://www.bilibili.com/video/BV124WYzjERN
BV1cB4MzCEBn,Day 12: 函数,未分类 / 其他,,917,0,2025-10-12,https://www.bilibili.com/video/BV1cB4MzCEBn
BV1AhxCzGEBU,也许你根本没用对AI来有效学习计算机,未分类 / 其他,,3283,0,2025-10-09,https://www.bilibili.com/video/BV1AhxCzGEBU
BV1HqxozyExf,Day 11：字符串操作,未分类 / 其他,,775,0,2025-10-08,https://www.bilibili.com/video/BV1HqxozyExf
BV1ghxQz5EHe,Day 10：阶段总结,未分类 / 其他,,943,0,2025-10-07,https://www.bilibili.com/video/BV1ghxQz5EHe
BV1QuxuztEvb,Day 9：集合 Set,未分类 / 其他,,867,0,2025-10-05,https://www.bilibili.com/video/BV1QuxuztEvb
BV1n6HuzYEGD,0 基础 AI 入门学习路径,未分类 / 其他,0,797,0,2025-10-03,https://www.bilibili.com/video/BV1n6HuzYEGD
BV1RGnUzcESj,零配置、有手就行的 Python 开发环境配置 —PyCharm！,未分类 / 其他,,4171,0,2025-09-30,https://www.bilibili.com/video/BV1RGnUzcESj
BV1ypnkzFEz6,Day8：字典 dict,未分类 / 其他,,1169,0,2025-09-30,https://www.bilibili.com/video/BV1ypnkzFEz6
BV1QAHczdE4x,Day 7：元组 Tuple（顺便讲了 Jupter Notebook）,未分类 / 其他,,1508,0,2025-09-29,https://www.bilibili.com/video/BV1QAHczdE4x
BV1WwHfzkEbj,这么多编程语言应该怎么选？,未分类 / 其他,,18361,0,2025-09-17,https://www.bilibili.com/video/BV1WwHfzkEbj
BV1WFpJzvEBv,为什么大学没教会你编程,未分类 / 其他,,34653,0,2025-09-13,https://www.bilibili.com/video/BV1WFpJzvEBv
BV1sSYGzVE16,编程入门第一课：理解编程的本质,未分类 / 其他,,35985,0,2025-09-07,https://www.bilibili.com/video/BV1sSYGzVE16
BV1E1ekzHETp,Day6：最重要的数据结构 list,未分类 / 其他,,1186,0,2025-08-27,https://www.bilibili.com/video/BV1E1ekzHETp
BV14aeHz6EVG,Day 5：for 和 while 循环,未分类 / 其他,,1182,0,2025-08-24,https://www.bilibili.com/video/BV14aeHz6EVG
BV1ZBeLz3EYf,Day4 if 语句,未分类 / 其他,,993,0,2025-08-24,https://www.bilibili.com/video/BV1ZBeLz3EYf
BV1DdYCzzEVm,Day3 基本运算和用户输入,未分类 / 其他,,1194,0,2025-08-17,https://www.bilibili.com/video/BV1DdYCzzEVm
BV1aYYyz5EeP,Day2 变量和数据类型,未分类 / 其他,,1752,0,2025-08-17,https://www.bilibili.com/video/BV1aYYyz5EeP
BV1k3YyzbEGg,Day1 第一行 Python 代码,未分类 / 其他,,4603,0,2025-08-17,https://www.bilibili.com/video/BV1k3YyzbEGg
BV1iNYezXECe,为什么说前端用 Node.js 全栈是画地为牢,未分类 / 其他,,33389,0,2025-08-16,https://www.bilibili.com/video/BV1iNYezXECe
BV1zmbwzFEd9,计算机专业准大一新生 Tips,未分类 / 其他,,959,0,2025-08-10,https://www.bilibili.com/video/BV1zmbwzFEd9
