bvid,title,series,number,plays,likes,date,url
BV1yLKw6aE9p,【闪客】大大大模型哪大了？深入解读超大模型 Kimi K3 背后的技术,闪客,,111366,0,2026-07-18,https://www.bilibili.com/video/BV1yLKw6aE9p
BV1KcNc6FEqA,【闪客】GPT5.6 是什么水平？我花了 1036 元帮你测了下！效果直观，就是有点费钱！,闪客,,77169,0,2026-07-11,https://www.bilibili.com/video/BV1KcNc6FEqA
BV1LkM86vEEW,【闪客】大模型的分数是咋测出来的？深入拆解 Benchmark 背后的秘密,闪客,,84893,0,2026-07-07,https://www.bilibili.com/video/BV1LkM86vEEW
BV1htTF6zEYE,【一飞冲天】如何真正做好一个自媒体？五年老油条的经验和心法分享！,一飞冲天,,15118,0,2026-06-30,https://www.bilibili.com/video/BV1htTF6zEYE
BV1Xg7v6PEr9,【闪客】新名词诈骗！你管这破玩意叫 Loop Engineering？,闪客,,93695,0,2026-06-25,https://www.bilibili.com/video/BV1Xg7v6PEr9
BV1247A6AEWD,Claude Code 虽强但难，试试这款国产 Agent CLI 工具 Kimi Code,未分类 / 其他,,114192,0,2026-06-22,https://www.bilibili.com/video/BV1247A6AEWD
BV1uVLX6uEYC,【闪客】1M 上下文很难吗？深入解读 GLM5.2 上下文背后的技术,闪客,,138339,0,2026-06-17,https://www.bilibili.com/video/BV1uVLX6uEYC
BV13QG16EEXG,【闪客】如何理解韬（τ）定律？深入解读华为最新技术！,闪客,,84273,0,2026-05-27,https://www.bilibili.com/video/BV13QG16EEXG
BV194LY6oEB2,【一飞冲天】如何跟上 AI 时代的快速发展？不掉队,一飞冲天,,46798,0,2026-05-22,https://www.bilibili.com/video/BV194LY6oEB2
BV1CgLy6MEPe,Agent 的下个形态是什么？Marvis 给出了一个答案,未分类 / 其他,,130283,0,2026-05-20,https://www.bilibili.com/video/BV1CgLy6MEPe
BV16BLF63EwT,如何让 Agent 操作软件？其实这和 Agent 无关,未分类 / 其他,,117189,0,2026-05-18,https://www.bilibili.com/video/BV16BLF63EwT
BV1mxR9BiEm8,【闪客】上帝视角拆解三年 LLM 架构演进！,闪客,,98452,0,2026-05-09,https://www.bilibili.com/video/BV1mxR9BiEm8
BV18M9DBtEF4,【闪客】AI是否有“真”情绪？黑镜中的场景提前到来了,闪客,,72459,0,2026-04-29,https://www.bilibili.com/video/BV18M9DBtEF4
BV1rpovBCEGH,【闪客】深入解读 DeepSeek V1~V4！男女老少都听得懂～,闪客,,203170,0,2026-04-26,https://www.bilibili.com/video/BV1rpovBCEGH
BV1cNdrB4Evw,【闪客】你管这破玩意叫 Harness？虚拟世界的牛马套餐！,闪客,,166566,0,2026-04-20,https://www.bilibili.com/video/BV1cNdrB4Evw
BV1y7DXBEEUp,【闪客】如何给我姥姥讲明白 AI 的底层逻辑？0️⃣公式，还得准确，我想到个例子~,闪客,,150603,0,2026-04-12,https://www.bilibili.com/video/BV1y7DXBEEUp
BV1m8D7BWEKZ,【一飞冲天】如何快速学习一个新的知识？几个降维打击的办法~,一飞冲天,,80458,0,2026-04-08,https://www.bilibili.com/video/BV1m8D7BWEKZ
BV1ue9MB6Ecs,【闪客】一次 ClaudeCode 的对话流程！源码泄漏后终于能学到了~,闪客,,182847,0,2026-04-03,https://www.bilibili.com/video/BV1ue9MB6Ecs
BV1wJXhBxE6F,我犯了 skill 焦虑症，别怕，亲手写一个终结它！,未分类 / 其他,,297726,0,2026-03-30,https://www.bilibili.com/video/BV1wJXhBxE6F
BV1MMw1zaESW,【闪客】深入解读 Kimi 爆火论文，马斯克都转了！到底什么是注意力残差？白话解读哟,闪客,,273052,0,2026-03-19,https://www.bilibili.com/video/BV1MMw1zaESW
