bvid,title,series,number,plays,likes,date,url
BV1yjKp6HEHS,Claude Code 光速整合DeepSeek V4 Pro大模型教程,未分类 / 其他,,883,0,2026-07-20,https://www.bilibili.com/video/BV1yjKp6HEHS
BV1Nb7W6pE4N,[直男式教学] SpringBoot应该怎么学?看这个视频3小时就搞定了!,未分类 / 其他,,13855,0,2026-06-29,https://www.bilibili.com/video/BV1Nb7W6pE4N
BV1NhEu6UEMt,10分钟带您玩转计算机毕设选题,未分类 / 其他,,737,0,2026-06-09,https://www.bilibili.com/video/BV1NhEu6UEMt
BV1rWEc6HEom,别再瞎写了！计算机论文这样水，导师立马给你通过了！,未分类 / 其他,,485,0,2026-06-05,https://www.bilibili.com/video/BV1rWEc6HEom
BV1euGo62ENi,YOLO26来了，手把手教你训练自己的目标检测数据集！,未分类 / 其他,,546,0,2026-05-26,https://www.bilibili.com/video/BV1euGo62ENi
BV11Uy8BTEVn,给你的项目加一个 AI 数字人吧？10 分钟带您快速接入魔珐星云 AI 具身智能平台！,未分类 / 其他,,1806,0,2025-10-30,https://www.bilibili.com/video/BV11Uy8BTEVn
BV1HUHPzQELQ,计算机毕设选题千万别踩坑！一条视频来帮您！,未分类 / 其他,,1066,0,2025-10-02,https://www.bilibili.com/video/BV1HUHPzQELQ
BV19waGzHEcc,java开发必学，1小时快速上手SpringAI!,未分类 / 其他,,21269,0,2025-09-01,https://www.bilibili.com/video/BV19waGzHEcc
BV1AVYvzTE7q,【无废话】2小时带小白快速入门SpringBoot！,无废话,,276301,0,2025-08-16,https://www.bilibili.com/video/BV1AVYvzTE7q
BV1QBgPzuEz1,打卡1小时搞定计算机专业必做项目->图书管理系统!,未分类 / 其他,,2365,0,2025-07-17,https://www.bilibili.com/video/BV1QBgPzuEz1
BV1vFMuzXEfQ,代码生成器两小时搞定仓库进销存管理系统,未分类 / 其他,,4816,0,2025-06-13,https://www.bilibili.com/video/BV1vFMuzXEfQ
BV1ZRTpzbEgX,访问DeepSeek太卡顿？5分钟教会你如何本地化部署DeepSeek！,未分类 / 其他,,2540,0,2025-06-05,https://www.bilibili.com/video/BV1ZRTpzbEgX
BV1g27hzPEsw,使用代码生成器2小时搞定智慧点餐系统！,未分类 / 其他,,1351,0,2025-06-03,https://www.bilibili.com/video/BV1g27hzPEsw
BV1tnzHYjEqS,使用代码生成器开发基于SpringBoot+Vue的在线考试系统仅需2小时！,未分类 / 其他,,10303,0,2024-11-30,https://www.bilibili.com/video/BV1tnzHYjEqS
BV1LU2GYQEsg,使用代码生成器快速开发SpringBoot3+Vue3毕设购物系统,未分类 / 其他,,9902,0,2024-10-10,https://www.bilibili.com/video/BV1LU2GYQEsg
BV1o4xweWEJa,SpringBoot整合OpenCV实现人脸识别登录,未分类 / 其他,,5781,0,2024-09-27,https://www.bilibili.com/video/BV1o4xweWEJa
BV1KQsaeREDz,HarmonyOS NEXT 项目实战：打造你的专属购物商城（免费开源）,未分类 / 其他,,14433,0,2024-09-24,https://www.bilibili.com/video/BV1KQsaeREDz
BV1vcH7eQEqo,鸿蒙光速练手实战教程,未分类 / 其他,,582,0,2024-08-30,https://www.bilibili.com/video/BV1vcH7eQEqo
BV1DGHMepEms,后附30000字教程文档的SpringBoot3+Vue3权限管理系统确定不了解一下？,未分类 / 其他,,4050,0,2024-08-29,https://www.bilibili.com/video/BV1DGHMepEms
BV1UC4y1Q76n,01-系统常见配置和关联数据表格处理,未分类 / 其他,,2095,0,2023-12-18,https://www.bilibili.com/video/BV1UC4y1Q76n
BV1Hg4y1Z7uy,前言,未分类 / 其他,,1277,0,2023-12-11,https://www.bilibili.com/video/BV1Hg4y1Z7uy
BV1a841137L7,一键生成springboot+vue代码，用这个做设计真的超简单！,未分类 / 其他,,25744,0,2023-01-26,https://www.bilibili.com/video/BV1a841137L7
