bvid,title,series,number,plays,likes,date,url
BV1qkJV6SEst,Vibe Coding作品分享 | AI桌宠：Claude Pet,未分类 / 其他,,1229,0,2026-06-13,https://www.bilibili.com/video/BV1qkJV6SEst
BV11sJV6wE9w,Vibe Coding作品分享 | 刷题宝：从Vibe Coding到真实产品,未分类 / 其他,,2189,0,2026-06-13,https://www.bilibili.com/video/BV11sJV6wE9w
BV13zo9B1E7M,AI产品经理的 Vibe Coding 启蒙课,未分类 / 其他,,4245,0,2026-04-25,https://www.bilibili.com/video/BV13zo9B1E7M
BV1NPdaBKEn3,对谈 | AI让编程变简单了吗？一场老手和新手的真实对谈,未分类 / 其他,,10801,0,2026-04-16,https://www.bilibili.com/video/BV1NPdaBKEn3
BV1uc2yBWEiF,AIGC产品经理公开课 | 如何成为AI解决方案架构师,未分类 / 其他,,8232,0,2025-12-09,https://www.bilibili.com/video/BV1uc2yBWEiF
BV1tZmwBMEfC,AIGC产品经理公开课 | 从项目经理的视角给产品经理讲项目管理,未分类 / 其他,,2218,0,2025-12-08,https://www.bilibili.com/video/BV1tZmwBMEfC
BV1kSUXBzEEa,AIGC产品经理公开课 | AI搜索+MCP重塑社媒运营新范式,未分类 / 其他,,1549,0,2025-11-26,https://www.bilibili.com/video/BV1kSUXBzEEa
BV1iQ2wBEEaW,AIGC产品经理公开课 | 南音：AI加出海，别墅靠大海？,未分类 / 其他,,1297,0,2025-11-06,https://www.bilibili.com/video/BV1iQ2wBEEaW
BV1Ffn3zNEjX,AIGC产品经理公开课 | 阿星：把AI变成你的“副业印钞机”,未分类 / 其他,,1438,0,2025-09-27,https://www.bilibili.com/video/BV1Ffn3zNEjX
BV1kQNZzhE6u,AIGC产品经理公开课 | 玉伯：YouMind产品小思,未分类 / 其他,,4035,0,2025-06-20,https://www.bilibili.com/video/BV1kQNZzhE6u
BV1FcJ6zCEEo,AIGC产品经理转行经验分享 | 在校生如何进入头部大厂,未分类 / 其他,,1177,0,2025-05-21,https://www.bilibili.com/video/BV1FcJ6zCEEo
BV1brEdzqEyw,AIGC产品经理转行经验分享 | 社招0经验转行年包30w+的秘诀,未分类 / 其他,,1776,0,2025-05-20,https://www.bilibili.com/video/BV1brEdzqEyw
BV1WRLqzNEdJ,沉浸式体验 6 场 AI 线下演讲 | AIGC产品经理研习社线下活动上海站,未分类 / 其他,,1343,0,2025-04-27,https://www.bilibili.com/video/BV1WRLqzNEdJ
BV1od51zkE1b,AIGC产品经理 | 从芯片算力发展看AI的未来,未分类 / 其他,,6716,0,2025-04-21,https://www.bilibili.com/video/BV1od51zkE1b
BV14LQNYfEgp,AIGC产品经理 | Deepseek-R1论文速读分享,未分类 / 其他,,1347,0,2025-03-13,https://www.bilibili.com/video/BV14LQNYfEgp
