bvid,title,series,number,plays,likes,date,url
BV1r5NZ62EBz,我是如何防面试者用AI作弊的,合集·程序员的悲欢并不相通,,807,0,2026-07-17,https://www.bilibili.com/video/BV1r5NZ62EBz
BV19RNL6EEcw,暗中观察：一边裁员一边招人？,合集·程序员的悲欢并不相通,,684,0,2026-07-10,https://www.bilibili.com/video/BV19RNL6EEcw
BV15ZTn6zE2v,急招！P6数据平台开发一面现场,合集·程序员的悲欢并不相通,,694,0,2026-07-03,https://www.bilibili.com/video/BV15ZTn6zE2v
BV1hF7B6BEj5,面试现场！放倒一半人的系统设计题展示,合集·程序员的悲欢并不相通,,630,0,2026-06-26,https://www.bilibili.com/video/BV1hF7B6BEj5
BV1uQji6wEpV,面试官想省时间，阁下该如何应对,合集·程序员的悲欢并不相通,,490,0,2026-06-19,https://www.bilibili.com/video/BV1uQji6wEpV
BV1k3JA6cEjj,一周面13人后，我想和大家说这些,合集·程序员的悲欢并不相通,,1268,0,2026-06-14,https://www.bilibili.com/video/BV1k3JA6cEjj
BV1No766MEqY,大肆迭代Agent前，我做了这个事,合集·来狗哥地方整点AI,,484,0,2026-06-05,https://www.bilibili.com/video/BV1No766MEqY
BV1faV46GE7S,当报表Agent遇上数据分析师，我做了这些事,合集·来狗哥地方整点AI,,532,0,2026-05-29,https://www.bilibili.com/video/BV1faV46GE7S
BV1VwGn61EAE,分享一下AI编程中看到的有趣姿势,合集·程序员的悲欢并不相通,,866,0,2026-05-24,https://www.bilibili.com/video/BV1VwGn61EAE
BV1RB5Y6xEkF,Agent实现必知必会之任务编排,合集·来狗哥地方整点AI,,597,0,2026-05-15,https://www.bilibili.com/video/BV1RB5Y6xEkF
BV1vKdGBAEEA,手把手带你做个报表Agent-1,合集·来狗哥地方整点AI,,801,0,2026-05-09,https://www.bilibili.com/video/BV1vKdGBAEEA
BV1isRTBDEbp,急招实录！P6数据平台岗,合集·聊点大数据,,846,0,2026-05-01,https://www.bilibili.com/video/BV1isRTBDEbp
BV17SoVB1EeS,读DatabendCBO源码时发现的事,合集·聊点大数据,,647,0,2026-04-24,https://www.bilibili.com/video/BV17SoVB1EeS
BV1nndBBUECY,近期招聘 看到的和想说的,合集·程序员的悲欢并不相通,,1310,0,2026-04-17,https://www.bilibili.com/video/BV1nndBBUECY
BV16qDfBfE9K,做大数据Agent时我在考虑什么,合集·聊点大数据,,1088,0,2026-04-10,https://www.bilibili.com/video/BV16qDfBfE9K
