bvid,title,series,number,plays,likes,date,url
BV18WNK6UEvE,【设计规则：优秀UI设计的原则与实践】中文语音,设计规则：优秀UI设计的原则与实践,,1397,0,2026-07-18,https://www.bilibili.com/video/BV18WNK6UEvE
BV1B5Kj6bEJD,【5G 与云计算：电信云基础】中文语音,5G 与云计算：电信云基础,,635,0,2026-07-16,https://www.bilibili.com/video/BV1B5Kj6bEJD
BV1AJKV6bEyG,他不惜一切代价来警示世人（中文语音）,未分类 / 其他,,585,0,2026-07-16,https://www.bilibili.com/video/BV1AJKV6bEyG
BV1FWNz6fEiL,【用 C++ 和 OpenGL 打造你自己的 2D 渲染库！】中文语音,用 C++ 和 OpenGL 打造你自己的 2D 渲染库！,,1550,0,2026-07-15,https://www.bilibili.com/video/BV1FWNz6fEiL
BV1YM7G6TEe2,《Python基础教程，第二版》中文语音3/4,未分类 / 其他,,1029,0,2026-07-10,https://www.bilibili.com/video/BV1YM7G6TEe2
BV189Tc66Egj,《在家养鸡，吃上好蛋》中文语音,未分类 / 其他,,1182,0,2026-06-30,https://www.bilibili.com/video/BV189Tc66Egj
BV1aiKR6ZE7w,【 微积分预备课程 1：基础概念】中文语音 1/2,微积分预备课程 1：基础概念,,1676,0,2026-06-29,https://www.bilibili.com/video/BV1aiKR6ZE7w
BV1jhTM6zES1,【微软全栈开发专家证书】4.使用 Blazor 进行前端开发 （中文语音）,微软全栈开发专家证书,,1414,0,2026-06-28,https://www.bilibili.com/video/BV1jhTM6zES1
BV1dy7W63E5Q,李飞飞访谈：未来10年或将只剩两种工（中文语音）,未分类 / 其他,,4679,0,2026-06-27,https://www.bilibili.com/video/BV1dy7W63E5Q
BV1i1756SEmd,40岁独立创业者的时代来了 - Y Combinator-中文语音,未分类 / 其他,,656,0,2026-06-26,https://www.bilibili.com/video/BV1i1756SEmd
BV1j1756SEqv,吴恩达深度解析：AI智能体的未来 _ 中断26 - LangChain-中文语音,未分类 / 其他,,528,0,2026-06-26,https://www.bilibili.com/video/BV1j1756SEqv
BV11QEY6HEc1,数字电子与计算机架构30小时课程（中文语音）2/2,未分类 / 其他,,1381,0,2026-06-18,https://www.bilibili.com/video/BV11QEY6HEc1
BV1sAjN6eEQG,【Hermes 智能体高阶实战：打造全自主 AI 工作流】中文语音,Hermes 智能体高阶实战：打造全自主 AI 工作流,,5754,0,2026-06-15,https://www.bilibili.com/video/BV1sAjN6eEQG
BV1yHzDBmE6p,学习有关 Linux 的一切知识！2025 版更新！100 多小时 中文语音（第4部分 完）,未分类 / 其他,,1742,0,2026-06-04,https://www.bilibili.com/video/BV1yHzDBmE6p
BV1XcDXBFECU,Code with Mosh -Spring Boot：掌握核心基础(中文语音),未分类 / 其他,,2786,0,2026-05-31,https://www.bilibili.com/video/BV1XcDXBFECU
BV1bYLM62E88,《Docker 与 Kubernetes 完全指南》中文语音 1/2,未分类 / 其他,,1828,0,2026-05-28,https://www.bilibili.com/video/BV1bYLM62E88
BV16VLk6tEMC,8051 微控制器汇编语言与嵌入式 C 语言（中文语音）,未分类 / 其他,8051,1159,0,2026-05-20,https://www.bilibili.com/video/BV16VLk6tEMC
BV13xL76VEuA,VS Code 详细教程 中文语音(2025.10更新),未分类 / 其他,,2986,0,2026-05-17,https://www.bilibili.com/video/BV13xL76VEuA
BV1QyDrBcEuu,Blender 3D角色建模入门 （中文语音）2/2,未分类 / 其他,,1448,0,2026-05-16,https://www.bilibili.com/video/BV1QyDrBcEuu
BV1HYXUBzENk,Cursor AI从入门到精通：使用AI构建生产级Web应用(中文语音),未分类 / 其他,,2224,0,2026-05-15,https://www.bilibili.com/video/BV1HYXUBzENk
BV1zC5X69ErH,面向日常专业人士的 Claude Code：用自然语言构建生产力工具(中文语音),未分类 / 其他,,2179,0,2026-05-14,https://www.bilibili.com/video/BV1zC5X69ErH
